decision_epochs,num_iters,n,k,policy,policy_params,replace,d,E_mean,L_mean,X_mean,detection_rate_mean,early_detection_rate_mean,resource_efficiency_mean,E_std,L_std,X_std,detection_rate_std,early_detection_rate_std,resource_efficiency_std
40,50,500,0.1,'myopic',{},TRUE,0.05,36.74,30.04,54.32,0.15693,0.5488,0.05432,6.909945509,5.325947267,9.318491601,0.031583399,0.058101242,0.009318492
40,50,500,0.1,'egreedy',{'e': 0.05},TRUE,0.05,36.84,30.08,55.24,0.167864,0.55063,0.05524,4.752485923,4.597426077,6.634972279,0.039366871,0.056293129,0.006634972
40,50,500,0.1,'egreedy',{'e': 0.1},TRUE,0.05,35.9,31.3,54.14,0.170552,0.535014,0.05414,4.929089,5.334714957,6.654781923,0.035941814,0.05882461,0.006654782
40,50,500,0.1,'egreedy',{'e': 0.25},TRUE,0.05,36.2,31.9,55.7,0.169564,0.531572,0.0557,5.897076412,5.544808199,7.619122023,0.028545072,0.060653725,0.007619122
40,50,500,0.1,'interval',{'z': 1},TRUE,0.05,31.66,32.32,48.46,0.14122,0.491184,0.04846,7.121711558,5.064643348,9.63244941,0.026516402,0.068405497,0.009632449
40,50,500,0.1,'interval',{'z': 3},TRUE,0.05,29.66,31.54,45.24,0.128204,0.48216,0.04524,6.714620052,5.115841743,8.481817287,0.023832759,0.076627826,0.008481817
40,50,500,0.1,'interval',{'z': 5},TRUE,0.05,30.9,31.24,46.64,0.130752,0.497148,0.04664,5.736563716,5.453177318,6.772573743,0.021719494,0.062261998,0.006772574
40,50,500,0.1,'boltzmann',{'tau': 0.25},TRUE,0.05,39.98,29.62,58.64,0.183386,0.574218,0.05864,6.771760088,5.473088148,9.845251627,0.038482824,0.054796271,0.009845252
40,50,500,0.1,'boltzmann',{'tau': 0.325},TRUE,0.05,38.62,29.88,58.22,0.172806,0.563572,0.05822,6.003026448,4.980123759,7.81753654,0.029160537,0.055000471,0.007817537
40,50,500,0.1,'boltzmann',{'tau': 0.4},TRUE,0.05,41.68,28.42,60.7,0.184218,0.594108,0.0607,6.109343797,4.567364265,8.367210054,0.033201461,0.051081259,0.00836721
40,50,500,0.2,'myopic',{},TRUE,0.05,48.3,28.34,73.5,0.275048,0.630858,0.03675,6.208125025,5.216183608,8.560111577,0.057538137,0.052293154,0.004280056
40,50,500,0.2,'egreedy',{'e': 0.05},TRUE,0.05,47.86,27.38,71.66,0.262444,0.633584,0.03583,8.502124584,4.624204289,9.629058911,0.052549996,0.059670084,0.004814529
40,50,500,0.2,'egreedy',{'e': 0.1},TRUE,0.05,49.02,27.48,71.76,0.263414,0.63939,0.03588,7.864905257,5.099979992,8.754147705,0.055665341,0.06140808,0.004377074
40,50,500,0.2,'egreedy',{'e': 0.25},TRUE,0.05,48.94,26.36,72.58,0.269732,0.64959,0.03629,6.662137918,4.489261564,8.926205401,0.042313309,0.051371962,0.004463103
40,50,500,0.2,'interval',{'z': 1},TRUE,0.05,43.96,29.08,66.28,0.226466,0.601622,0.03314,5.934884762,4.539351747,6.90767098,0.04494034,0.049635287,0.003453835
40,50,500,0.2,'interval',{'z': 3},TRUE,0.05,42.22,29.9,64.4,0.204616,0.583604,0.0322,6.740950094,4.136694924,8.9053985,0.042769355,0.053632099,0.004452699
40,50,500,0.2,'interval',{'z': 5},TRUE,0.05,43.16,28.42,63.18,0.210592,0.602772,0.03159,7.115260977,5.522089223,9.406228939,0.053458944,0.056102672,0.004703114
40,50,500,0.2,'boltzmann',{'tau': 0.25},TRUE,0.05,49.84,28.1,74.24,0.28686,0.64045,0.03712,6.031752715,5.214774928,9.166398264,0.059421679,0.047230348,0.004583199
40,50,500,0.2,'boltzmann',{'tau': 0.325},TRUE,0.05,49.08,27.28,74.12,0.305706,0.641834,0.03706,7.348024863,4.772540503,9.509694302,0.074539817,0.055071896,0.004754847
40,50,500,0.2,'boltzmann',{'tau': 0.4},TRUE,0.05,51.48,26.94,77.8,0.315808,0.656712,0.0389,6.928910154,5.052419101,9.211793683,0.07428445,0.050447478,0.004605897
40,50,500,0.3,'myopic',{},TRUE,0.05,54.32,25.48,81.04,0.423224,0.680608,0.027012,7.854389128,5.376593262,11.21944376,0.123024954,0.056821632,0.00374191
40,50,500,0.3,'egreedy',{'e': 0.05},TRUE,0.05,54.64,24.24,80.76,0.38353,0.692748,0.026916,7.012408827,4.547078003,9.507376299,0.089862912,0.046817868,0.003168426
40,50,500,0.3,'egreedy',{'e': 0.1},TRUE,0.05,55.06,24.98,81.94,0.402568,0.68854,0.02731,8.997528005,5.950441589,12.1595012,0.110288994,0.058251454,0.004048545
40,50,500,0.3,'egreedy',{'e': 0.25},TRUE,0.05,55.26,25.1,82.86,0.426958,0.6868,0.02762,7.973962731,4.518668758,9.506195617,0.114050796,0.050091353,0.003171686
40,50,500,0.3,'interval',{'z': 1},TRUE,0.05,51.5,25.72,76.1,0.31688,0.667276,0.025364,7.106335202,5.499684592,10.36526775,0.075727826,0.054199125,0.003454708
40,50,500,0.3,'interval',{'z': 3},TRUE,0.05,52.82,25.56,76.3,0.330892,0.674972,0.025432,7.710819327,6.151688005,9.998469271,0.080537862,0.058321932,0.003334755
40,50,500,0.3,'interval',{'z': 5},TRUE,0.05,50.88,25.94,75.86,0.324074,0.663882,0.025298,6.96240634,6.021763251,9.971408105,0.079223842,0.056743262,0.003325504
40,50,500,0.3,'boltzmann',{'tau': 0.25},TRUE,0.05,57.1,25.7,85.9,0.406946,0.68929,0.028628,7.851296526,4.891683905,10.54291521,0.095489216,0.050374731,0.00352009
40,50,500,0.3,'boltzmann',{'tau': 0.325},TRUE,0.05,55.28,24.3,81.92,0.410812,0.694128,0.027312,6.960647401,4.459568937,8.358888707,0.093877716,0.051026008,0.002788434
40,50,500,0.3,'boltzmann',{'tau': 0.4},TRUE,0.05,56.04,24.36,83.18,0.438438,0.697238,0.02773,7.171257824,4.754203296,10.14525123,0.132967725,0.045772726,0.003384493
40,50,500,0.4,'myopic',{},TRUE,0.05,57.4,24.24,88.04,0.549756,0.703048,0.022016,8.626016651,5.578969256,11.53691502,0.178168987,0.062458193,0.002883405
40,50,500,0.4,'egreedy',{'e': 0.05},TRUE,0.05,56.6,24.14,84.74,0.48251,0.70102,0.02118,9.310954707,5.886719748,12.8250552,0.137607045,0.059063339,0.003212412
40,50,500,0.4,'egreedy',{'e': 0.1},TRUE,0.05,57.42,23.08,85.28,0.558592,0.712578,0.021318,8.161857532,4.667910427,10.03064692,0.138370509,0.053552344,0.002503116
40,50,500,0.4,'egreedy',{'e': 0.25},TRUE,0.05,56.74,23.4,86.02,0.55265,0.707476,0.021498,8.590003682,5.11101252,11.38471944,0.146038883,0.055969239,0.002839983
40,50,500,0.4,'interval',{'z': 1},TRUE,0.05,56,24.12,84.1,0.448834,0.697644,0.021022,8.458783625,4.211936391,10.64309683,0.141651665,0.04656415,0.002660542
40,50,500,0.4,'interval',{'z': 3},TRUE,0.05,54.54,24.24,81.56,0.454402,0.6914,0.02039,8.502604643,5.415623657,9.949176973,0.115102434,0.065386655,0.002486474
40,50,500,0.4,'interval',{'z': 5},TRUE,0.05,54.54,22.94,80.38,0.447908,0.704896,0.020092,7.456568122,5.381032448,9.576523164,0.139838907,0.057140978,0.002392748
40,50,500,0.4,'boltzmann',{'tau': 0.25},TRUE,0.05,55.68,21.88,82.12,0.539486,0.718438,0.020536,6.768594947,4.42460652,9.314548638,0.170684313,0.043562092,0.002334284
40,50,500,0.4,'boltzmann',{'tau': 0.325},TRUE,0.05,57.36,24.04,87,0.526148,0.70465,0.021748,7.187744672,4.989621883,9.216223495,0.147836055,0.052921633,0.002305649
40,50,500,0.4,'boltzmann',{'tau': 0.4},TRUE,0.05,58.58,23.72,87.66,0.5799,0.711474,0.021914,8.018066335,4.48143563,10.71449524,0.183709146,0.043240801,0.002684499
40,50,500,0.1,'deep',{'m': 100},TRUE,0.05,33.76,33.36,50.64,0.1307,0.503062,0.05064,5.077199935,5.212856947,6.40076526,0.018679947,0.059889524,0.006400765
40,50,500,0.3,'deep',{'m': 100},TRUE,0.05,52.66,26.34,78.16,0.302856,0.666488,0.026052,7.70796037,5.101460375,10.62795697,0.04850931,0.049025369,0.003545405
40,50,500,0.2,'deep',{'m': 100},TRUE,0.05,46.16,30.68,70.16,0.211998,0.6016,0.03508,6.655855179,5.593144492,8.593685389,0.029674716,0.048397533,0.004296843
40,50,500,0.4,'deep',{'m': 100},TRUE,0.05,54.78,25.2,82.5,0.402842,0.684358,0.020626,9.118919556,5.799366609,11.96636442,0.07531676,0.056781659,0.002990448
